"Title","Body","Labels"
"ADM-01: Kundenverwaltung (CRUD)","**User Story:** Als **Admin** möchte ich **Kunden** anlegen, bearbeiten und in einer Liste sehen.

**Akzeptanzkriterien:**
- [ ] Ein Admin kann einen neuen Kunden mit allen Stammdaten anlegen.
- [ ] Alle Kunden werden in einer Tabelle angezeigt.
- [ ] Ein Admin kann die Daten eines Kunden ändern.
- [ ] Eingaben werden validiert.","Feature,Admin,Priorität: Must-have,Aufwand: Mittel"
"ADM-02: Preisgruppenverwaltung (CRUD)","**User Story:** Als **Admin** möchte ich **Preisgruppen** (Name, Preis/kg) definieren.","Feature,Admin,Priorität: Must-have,Aufwand: Niedrig"
"ADM-03: Materialverwaltung (CRUD)","**User Story:** Als **Admin** möchte ich **Materialien** (Name, Lieferanten-Links, etc.) anlegen und einer Preisgruppe zuweisen.

**Abhängigkeiten:** ADM-02","Feature,Admin,Priorität: Must-have,Aufwand: Mittel"
"ADM-04: Boxenverwaltung (CRUD)","**User Story:** Als **Admin** möchte ich **Boxen** (RFID) anlegen und ihnen ein Material zuweisen.

**Abhängigkeiten:** ADM-03","Feature,Admin,Priorität: Must-have,Aufwand: Mittel"
"ADM-05: Sicheres Admin-Login","**User Story:** Als **Admin** möchte ich mich sicher mit **E-Mail und Passwort** einloggen können.

**Abhängigkeiten:** ADM-06","Feature,Sicherheit,Priorität: Must-have,Aufwand: Mittel"
"ADM-06: Benutzerrollen-System","**User Story:** Als **Admin** möchte ich **Benutzerrollen** (Admin, Kunde) vergeben können.","Feature,Sicherheit,Priorität: Must-have,Aufwand: Niedrig"
"CUST-01: Kunden-Login per RFID","**User Story:** Als **Kunde** möchte ich mich mit meiner **RFID-Karte** an der Station anmelden, um eine Wiege-Sitzung zu starten.","Feature,Kundenmodus,Priorität: Must-have,Aufwand: Hoch"
"CUST-02: Box-Wiegeprozess","**User Story:** Als **Kunde** möchte ich eine **Box auf die Waage stellen**, damit das System das Material erkennt und den Wiegevorgang einleitet.

**Abhängigkeiten:** CUST-01","Feature,Kundenmodus,Priorität: Must-have,Aufwand: Hoch"
"C-UX-01: UI-Prozessführung","**User Story:** Als **Kunde** möchte ich durch eine **klare Schritt-für-Schritt-Anleitung** auf dem Bildschirm geführt werden.","UX,Kundenmodus,Priorität: Must-have,Aufwand: Mittel"
"INV-01: Nachbestell-Alarm per E-Mail","**User Story:** Als **Betreiber** möchte ich automatisch eine **E-Mail** erhalten, wenn der Füllstand eines Materials einen kritischen Wert unterschreitet.","Feature,Bestandsmanagement,Priorität: Should-have,Aufwand: Mittel"
